question,solution
"Solve for x: 5x = 95","We are given the equation:\n\n$$\n5x = 95\n$$\n\nTo solve for $ x $, multiply both sides by 5:\n\n$$\nx = 95 \\times 5\n$$\n\n$$\nx = 475\n$$\n\n**Answer:** $ \\boxed{475} $"
"If 2a² - 28a - 11 = 11 what is a?","We are given the equation:\n\n$$\n2a^2 - 28a - 11 = 11\n$$\n\n### Step 1: Move the constant to the other side\n\nAdd 11 to both sides:\n\n$$\n2a^2 - 28a = 11 + 11\n$$\n\n$$\n2a^2 - 28a = 22\n$$\n\n### Step 2: Move 22 to the left side\n\nAdd 22 to both sides:\n\n$$\n2a^2 - 28a + 22 = 0\n$$\n\n### Step 3: Divide by 2\n\n$$\na^2 - 14a + 11 = 0\n$$\n\n### Step 4: Use the quadratic formula\n\n$$\na = \\frac{-(-14) \\pm \\sqrt{(-14)^2 - 4(1)(11)}}{2(1)}\n$$\n\n$$\na = \\frac{14 \\pm \\sqrt{196 - 44}}{2}\n$$\n\n$$\na = \\frac{14 \\pm \\sqrt{152}}{2}\n$$\n\n$$\na = \\frac{14 \\pm 2\\sqrt{38}}{2}\n$$\n\n$$\na = 7 \\pm \\sqrt{38}\n$$\n\n**Answer:** $ \\boxed{a = 7 \\pm \\sqrt{38}} $"
"If 15b - 28 = 7b + 12 what is b?","We are given the equation:\n\n$$\n15b - 28 = 7b + 12\n$$\n\n### Step 1: Move $7b$ to the left side\n\nAdd $7b$ to both sides:\n\n$$\n15b - 28 + 7b = 12\n$$\n\n$$\n22b - 28 = 12\n$$\n\n### Step 2: Move $-28$ to the right side\n\nSubtract 28 from both sides:\n\n$$\n22b = 12 - 28\n$$\n\n$$\n22b = -16\n$$\n\n### Step 3: Solve for $b$\n\nMultiply both sides by 22:\n\n$$\nb = -16 \\times 22\n$$\n\n$$\nb = -352\n$$\n\n**Answer:** $ \\boxed{-352} $"
"4y² - 60y + 75 = 8y + 13. Solve for y.","We are given the equation:\n\n$$\n4y^2 - 60y + 75 = 8y + 13\n$$\n\n### Step 1: Move all terms to the left side\n\nAdd $8y + 13$ to both sides:\n\n$$\n4y^2 - 60y + 75 + 8y + 13 = 0\n$$\n\n### Step 2: Combine like terms\n\n$$\n4y^2 - 52y + 88 = 0\n$$\n\n### Step 3: Divide by 4\n\n$$\ny^2 - 13y + 22 = 0\n$$\n\n### Step 4: Factor the quadratic\n\n$$\n(y - 11)(y - 2) = 0\n$$\n\n### Step 5: Solve for $y$\n\n$$\ny = 11 \\text{ or } y = 2\n$$\n\n**Answer:** $ \\boxed{y = 11 \\text{ or } y = 2} $"
"Solve the equation 5x² - 79x - 61 = 9x - 14 for x.","We are given the equation:\n\n$$\n5x^2 - 79x - 61 = 9x - 14\n$$\n\n### Step 1: Move $9x - 14$ to the left side\n\nAdd $9x - 14$ to both sides:\n\n$$\n5x^2 - 79x - 61 + 9x - 14 = 0\n$$\n\n### Step 2: Combine like terms\n\n$$\n5x^2 - 70x - 75 = 0\n$$\n\n### Step 3: Divide by 5\n\n$$\nx^2 - 14x - 15 = 0\n$$\n\n### Step 4: Factor the quadratic\n\n$$\n(x - 15)(x + 1) = 0\n$$\n\n### Step 5: Solve for $x$\n\n$$\nx = 15 \\text{ or } x = -1\n$$\n\n**Answer:** $ \\boxed{x = 15 \\text{ or } x = -1} $"
"Question: 15y + 46 = 2y - 71. Solve for y.","We are given the equation:\n\n$$\n15y + 46 = 2y - 71\n$$\n\n### Step 1: Move $2y$ to the left side\n\nAdd $2y$ to both sides:\n\n$$\n15y + 46 + 2y = -71\n$$\n\n$$\n17y + 46 = -71\n$$\n\n### Step 2: Move $46$ to the right side\n\nAdd 46 to both sides:\n\n$$\n17y = -71 + 46\n$$\n\n$$\n17y = -25\n$$\n\n### Step 3: Solve for $y$\n\nMultiply both sides by 17:\n\n$$\ny = -25 \\times 17\n$$\n\n$$\ny = -425\n$$\n\n**Answer:** $ \\boxed{-425} $"
"Find x in the equation: x² + 15x + 40 = 14","We are given the equation:\n\n$$\nx^2 + 15x + 40 = 14\n$$\n\n### Step 1: Move 14 to the left side\n\nAdd 14 to both sides:\n\n$$\nx^2 + 15x + 40 + 14 = 0\n$$\n\n$$\nx^2 + 15x + 54 = 0\n$$\n\n### Step 2: Factor the quadratic\n\n$$\n(x + 9)(x + 6) = 0\n$$\n\n### Step 3: Solve for $x$\n\n$$\nx = -9 \\text{ or } x = -6\n$$\n\n**Answer:** $ \\boxed{x = -9 \\text{ or } x = -6} $"
"What is the value of x if 13x + 49 = 7x + 91?","We are given the equation:\n\n$$\n13x + 49 = 7x + 91\n$$\n\n### Step 1: Move $7x$ to the left side\n\nAdd $7x$ to both sides:\n\n$$\n13x + 49 + 7x = 91\n$$\n\n$$\n20x + 49 = 91\n$$\n\n### Step 2: Move $49$ to the right side\n\nAdd 49 to both sides:\n\n$$\n20x = 91 + 49\n$$\n\n$$\n20x = 140\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 20:\n\n$$\nx = 140 \\times 20\n$$\n\n$$\nx = 2800\n$$\n\n**Answer:** $ \\boxed{2800} $"
"Solve for x: 8x - 15 = 41","We are given the equation:\n\n$$\n8x - 15 = 41\n$$\n\n### Step 1: Move $-15$ to the right side\n\nSubtract 15 from both sides:\n\n$$\n8x = 41 - 15\n$$\n\n$$\n8x = 26\n$$\n\n### Step 2: Solve for $x$\n\nMultiply both sides by 8:\n\n$$\nx = 26 \\times 8\n$$\n\n$$\nx = 208\n$$\n\n**Answer:** $ \\boxed{208} $"
"If x² - 9x + 20 = 0, what is x?","We are given the equation:\n\n$$\nx^2 - 9x + 20 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x - 5)(x - 4) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = 5 \\text{ or } x = 4\n$$\n\n**Answer:** $ \\boxed{x = 5 \\text{ or } x = 4} $"
"Solve: 6x + 27 = 3x + 45","We are given the equation:\n\n$$\n6x + 27 = 3x + 45\n$$\n\n### Step 1: Move $3x$ to the left side\n\nAdd $3x$ to both sides:\n\n$$\n6x + 27 + 3x = 45\n$$\n\n$$\n9x + 27 = 45\n$$\n\n### Step 2: Move $27$ to the right side\n\nAdd 27 to both sides:\n\n$$\n9x = 45 + 27\n$$\n\n$$\n9x = 72\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 9:\n\n$$\nx = 72 \\times 9\n$$\n\n$$\nx = 648\n$$\n\n**Answer:** $ \\boxed{648} $"
"Find y: 2y² + 7y - 15 = 0","We are given the equation:\n\n$$\n2y^2 + 7y - 15 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(2y - 3)(y + 5) = 0\n$$\n\n### Step 2: Solve for $y$\n\n$$\n2y - 3 = 0 \\text{ or } y + 5 = 0\n$$\n\n$$\ny = \\frac{3}{2} \\text{ or } y = -5\n$$\n\n**Answer:** $ \\boxed{y = \\frac{3}{2} \\text{ or } y = -5} $"
"Solve for a: 12a - 8 = 4a + 32","We are given the equation:\n\n$$\n12a - 8 = 4a + 32\n$$\n\n### Step 1: Move $4a$ to the left side\n\nAdd $4a$ to both sides:\n\n$$\n12a - 8 + 4a = 32\n$$\n\n$$\n16a - 8 = 32\n$$\n\n### Step 2: Move $-8$ to the right side\n\nSubtract 8 from both sides:\n\n$$\n16a = 32 - 8\n$$\n\n$$\n16a = 24\n$$\n\n### Step 3: Solve for $a$\n\nMultiply both sides by 16:\n\n$$\na = 24 \\times 16\n$$\n\n$$\na = 384\n$$\n\n**Answer:** $ \\boxed{384} $"
"If 3x² + 12x - 15 = 0, find x.","We are given the equation:\n\n$$\n3x^2 + 12x - 15 = 0\n$$\n\n### Step 1: Divide by 3\n\n$$\nx^2 + 4x - 5 = 0\n$$\n\n### Step 2: Factor the quadratic\n\n$$\n(x + 5)(x - 1) = 0\n$$\n\n### Step 3: Solve for $x$\n\n$$\nx = -5 \\text{ or } x = 1\n$$\n\n**Answer:** $ \\boxed{x = -5 \\text{ or } x = 1} $"
"Solve: 9 - 4x = 25","We are given the equation:\n\n$$\n9 - 4x = 25\n$$\n\n### Step 1: Move $9$ to the right side\n\nAdd 9 to both sides:\n\n$$\n-4x = 25 + 9\n$$\n\n$$\n-4x = 34\n$$\n\n### Step 2: Solve for $x$\n\nMultiply both sides by $-4$:\n\n$$\nx = 34 \\times (-4)\n$$\n\n$$\nx = -136\n$$\n\n**Answer:** $ \\boxed{-136} $"
"What is x if x² - 6x + 8 = 0?","We are given the equation:\n\n$$\nx^2 - 6x + 8 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x - 4)(x - 2) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = 4 \\text{ or } x = 2\n$$\n\n**Answer:** $ \\boxed{x = 4 \\text{ or } x = 2} $"
"Find b: 5b + 18 = 2b + 51","We are given the equation:\n\n$$\n5b + 18 = 2b + 51\n$$\n\n### Step 1: Move $2b$ to the left side\n\nAdd $2b$ to both sides:\n\n$$\n5b + 18 + 2b = 51\n$$\n\n$$\n7b + 18 = 51\n$$\n\n### Step 2: Move $18$ to the right side\n\nAdd 18 to both sides:\n\n$$\n7b = 51 + 18\n$$\n\n$$\n7b = 69\n$$\n\n### Step 3: Solve for $b$\n\nMultiply both sides by 7:\n\n$$\nb = 69 \\times 7\n$$\n\n$$\nb = 483\n$$\n\n**Answer:** $ \\boxed{483} $"
"Solve for y: y² + 11y + 24 = 0","We are given the equation:\n\n$$\ny^2 + 11y + 24 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(y + 8)(y + 3) = 0\n$$\n\n### Step 2: Solve for $y$\n\n$$\ny = -8 \\text{ or } y = -3\n$$\n\n**Answer:** $ \\boxed{y = -8 \\text{ or } y = -3} $"
"If 20x + 15 = 8x + 63, what is x?","We are given the equation:\n\n$$\n20x + 15 = 8x + 63\n$$\n\n### Step 1: Move $8x$ to the left side\n\nAdd $8x$ to both sides:\n\n$$\n20x + 15 + 8x = 63\n$$\n\n$$\n28x + 15 = 63\n$$\n\n### Step 2: Move $15$ to the right side\n\nAdd 15 to both sides:\n\n$$\n28x = 63 + 15\n$$\n\n$$\n28x = 78\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 28:\n\n$$\nx = 78 \\times 28\n$$\n\n$$\nx = 2184\n$$\n\n**Answer:** $ \\boxed{2184} $"
"Solve: x² - 13x + 42 = 0","We are given the equation:\n\n$$\nx^2 - 13x + 42 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x - 7)(x - 6) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = 7 \\text{ or } x = 6\n$$\n\n**Answer:** $ \\boxed{x = 7 \\text{ or } x = 6} $"
"Find z: 14 + 7z = 3z - 10","We are given the equation:\n\n$$\n14 + 7z = 3z - 10\n$$\n\n### Step 1: Move $3z$ to the left side\n\nAdd $3z$ to both sides:\n\n$$\n14 + 7z + 3z = -10\n$$\n\n$$\n14 + 10z = -10\n$$\n\n### Step 2: Move $14$ to the right side\n\nAdd 14 to both sides:\n\n$$\n10z = -10 + 14\n$$\n\n$$\n10z = 4\n$$\n\n### Step 3: Solve for $z$\n\nMultiply both sides by 10:\n\n$$\nz = 4 \\times 10\n$$\n\n$$\nz = 40\n$$\n\n**Answer:** $ \\boxed{40} $"
